Instance,OF,time
classe_1_140_112,3.0,0.098
classe_1_300_300,3.0,0.46
classe_1_40_32,3.0,0.01
classe_1_48_60,5.0,0.012
classe_2_144_180,1.0,0.225
classe_2_180_180,1.0,0.344
classe_2_280_224,1.0,0.669
classe_4_240_192,24.0,0.143
classe_4_240_240,8.0,0.376
classe_4_240_300,31.0,0.15
classe_5_192_240,5.0,0.386
classe_5_200_200,6.0,0.374
classe_5_80_64,5.0,0.063
classe_6_32_40,7.0,0.013
classe_6_40_32,2.0,0.021
classe_6_80_80,1.0,0.087
classe_7_224_280,31.0,0.27
classe_7_280_280,19.0,0.421
classe_7_300_300,11.0,0.604
classe_8_240_240,10.0,0.541
classe_8_300_240,9.0,0.861
classe_8_64_80,78.0,0.039
classe_9_180_144,72.0,0.368
classe_9_192_240,107.0,0.443
classe_9_200_200,81.0,0.532
classe_9_224_280,3.0,0.704
classe_9_240_192,92.0,0.711
