Instance,OF_1000,time_1000
classe_1_140_112,5.0,0.136
classe_1_300_300,3.0,0.503
classe_1_40_32,3.0,0.014
classe_1_48_60,6.0,0.019
classe_2_144_180,1.0,0.238
classe_2_180_180,1.0,0.388
classe_2_280_224,1.0,0.861
classe_4_240_192,30.0,0.185
classe_4_240_240,11.0,0.426
classe_4_240_300,39.0,0.188
classe_5_192_240,5.0,0.468
classe_5_200_200,6.0,0.452
classe_5_80_64,5.0,0.076
classe_6_32_40,8.0,0.022
classe_6_40_32,2.0,0.03
classe_6_80_80,1.0,0.102
classe_7_224_280,39.0,0.291
classe_7_280_280,29.0,0.485
classe_7_300_300,21.0,0.682
classe_8_240_240,11.0,0.644
classe_8_300_240,9.0,1.036
classe_8_64_80,78.0,0.047
classe_9_180_144,73.0,0.44
classe_9_192_240,108.0,0.525
classe_9_200_200,81.0,0.579
classe_9_224_280,2.0,0.766
classe_9_240_192,94.0,0.746
